client_id,industry,contract_type,base_value
C001,Tech,Project,4888
C002,Tech,Retainer,586
C003,Retail,Retainer,2257
C004,Finance,Hourly,9085
C005,Marketing,Hourly,6064
C006,Marketing,Retainer,10183
C007,Finance,Hourly,1421
C008,Tech,Retainer,8289
C009,Retail,Retainer,10404
C010,Art,Retainer,6134
C011,Finance,Project,5948
C012,Finance,Project,9826
C013,Finance,Project,1735
C014,Finance,Hourly,7383
C015,Marketing,Hourly,3022
C016,Marketing,Project,9965
C017,Tech,Hourly,4990
C018,Art,Hourly,9735
C019,Marketing,Retainer,9835
C020,Marketing,Retainer,2084
C021,Art,Retainer,6952
C022,Finance,Hourly,1197
C023,Tech,Hourly,10764
C024,Tech,Retainer,8677
C025,Marketing,Project,1464
C026,Tech,Project,7276
C027,Finance,Project,5063
C028,Tech,Project,4424
C029,Finance,Retainer,6003
C030,Marketing,Hourly,5849
C031,Tech,Project,1337
C032,Tech,Retainer,4059
C033,Marketing,Retainer,9940
C034,Finance,Project,6076
C035,Retail,Hourly,11370
C036,Marketing,Hourly,3701
C037,Finance,Hourly,8302
C038,Tech,Project,10730
C039,Art,Project,11673
C040,Marketing,Retainer,3219
C041,Marketing,Project,7763
C042,Marketing,Retainer,8226
C043,Art,Project,5516
C044,Art,Project,9835
C045,Marketing,Retainer,1325
C046,Art,Project,7392
C047,Retail,Project,1181
C048,Finance,Project,11630
C049,Finance,Project,9600
C050,Finance,Retainer,960
C051,Retail,Hourly,3306
C052,Marketing,Hourly,3318
C053,Art,Project,2217
C054,Marketing,Retainer,11151
C055,Retail,Hourly,1377
C056,Tech,Project,8481
C057,Finance,Project,6555
C058,Finance,Hourly,3341
C059,Art,Hourly,8389
C060,Finance,Project,3657
C061,Art,Project,5232
C062,Retail,Project,9416
C063,Marketing,Retainer,3572
C064,Retail,Hourly,3244
C065,Marketing,Retainer,1507
C066,Art,Project,4480
C067,Retail,Hourly,4796
C068,Art,Hourly,6703
C069,Finance,Retainer,11734
C070,Marketing,Project,9563
C071,Tech,Retainer,9520
C072,Finance,Project,9853
C073,Art,Hourly,4722
C074,Marketing,Project,5859
C075,Retail,Project,6133
C076,Tech,Project,1424
C077,Marketing,Hourly,3021
C078,Finance,Hourly,1456
C079,Retail,Project,7042
C080,Retail,Hourly,6866
C081,Retail,Project,6451
C082,Finance,Hourly,11327
C083,Art,Project,10090
C084,Marketing,Retainer,6466
C085,Finance,Retainer,1350
C086,Marketing,Hourly,5305
C087,Finance,Hourly,1496
C088,Tech,Hourly,11688
C089,Finance,Hourly,10018
C090,Art,Retainer,6807
C091,Tech,Retainer,11555
C092,Marketing,Retainer,9987
C093,Tech,Retainer,5850
C094,Finance,Retainer,9974
C095,Retail,Hourly,11111
C096,Tech,Project,10183
C097,Marketing,Hourly,1586
C098,Marketing,Hourly,10982
C099,Finance,Project,9597
C100,Marketing,Project,11510
